VesselAISKey,AISTrajectPositionTimeStamp,AISTrajectPositionLongitude,AISTrajectPositionLatitude,AISTrajectPositionNorthing,AISTrajectPositionEasting,AISTrajectPositionCourseOverGround,AISTrajectPositionSpeedOverGround
281923,2018-05-01 11:48:04.947,4.207486629,51.38552094,5693389.543,584023.4023,136.4,8.8
281923,2018-05-01 11:51:54.793,4.214131832,51.37717819,5692469.42,584501.1588,163.9,9
281923,2018-05-01 11:55:34.063,4.217636585,51.3680954,5691463.409,584761.8464,164.1,9
281923,2018-05-01 11:59:23.037,4.223873138,51.35964584,5690531.002,585211.65,145.9,8.5
281923,2018-05-01 12:02:53.930,4.235310078,51.35391235,5689906.758,586018.6536,115.3,10.3
281923,2018-05-01 12:06:13.090,4.249314785,51.3504982,5689543.605,587000.2798,110.8,9.6
281923,2018-05-01 09:26:03.753,3.820501566,51.33361816,5687245.126,557159.9716,73.1,0
281923,2018-05-01 12:09:42.097,4.262526512,51.34659195,5689124.964,587927.7674,121.9,9.4
281923,2018-05-01 12:13:53.833,4.272439957,51.33982086,5688383.919,588631.2181,146.8,6.9
281923,2018-05-01 09:44:24.617,3.819255114,51.34288788,5688275.02,557061.6287,31.4,7.3
281923,2018-05-01 09:48:42.137,3.833931684,51.3431015,5688310.294,558083.5753,101.8,8.6
281923,2018-05-01 09:52:42.137,3.848581553,51.34163284,5688158.668,559105.8156,90.1,8.1
281923,2018-05-01 09:56:44.843,3.862703323,51.34368134,5688397.947,560086.7372,64.2,8.2
281923,2018-05-01 10:00:34.640,3.87555337,51.34788132,5688875.619,560976.1453,65.3,8.6
281923,2018-05-01 12:43:54.677,4.277383327,51.33515167,5687870.669,588984.5744,0,0
281923,2018-05-01 10:04:23.970,3.888968229,51.35177994,5689320.41,561905.126,60.6,8.8
281923,2018-05-01 04:59:59.323,3.561889887,51.04592896,5655082.578,539388.5177,34.8,5.9
281923,2018-05-01 10:08:04.893,3.900891781,51.35718155,5689931.24,562728.0546,51.6,9.1
281923,2018-05-01 05:05:29.107,3.567538261,51.05421066,5656006.569,539777.3717,11.5,6
281923,2018-05-01 10:11:42.440,3.91309166,51.3625679,5690540.746,563570.0456,55.6,9.3
281923,2018-05-01 05:10:58.187,3.57041502,51.0632515,5657013.501,539971.21,10.4,6
281923,2018-05-01 05:17:09.610,3.569839954,51.07314682,5658113.588,539922.3996,333.2,5.9
281923,2018-05-01 10:15:13.880,3.92492342,51.36788559,5691142.435,564386.3072,50.5,9.2
281923,2018-05-01 10:18:44.897,3.93571496,51.37393188,5691824.358,565128.9404,46.8,9.2
281923,2018-05-01 05:23:38.207,3.563055038,51.0825882,5659159.852,539439.0311,355.2,5.8
281923,2018-05-01 05:29:28.020,3.564073324,51.09222794,5660232.378,539502.1441,10.4,5.7
281923,2018-05-01 10:22:13.243,3.946146727,51.38011932,5692521.765,565846.1342,43.9,9.2
281923,2018-05-01 10:25:53.213,3.954699993,51.38776016,5693379.2,566430.3144,22.2,9.2
281923,2018-05-01 05:37:18.307,3.579583406,51.09407806,5660446.556,540586.6903,102.1,5.4
281923,2018-05-01 10:29:34.620,3.957931757,51.39683914,5694391.787,566641.9914,7.3,9.2
281923,2018-05-01 13:02:58.677,4.276303291,51.32569504,5686817.743,588927.6329,191.5,11
281923,2018-05-01 05:43:39.683,3.594273329,51.09236145,5660263.862,541616.9198,102.5,5.2
281923,2018-05-01 13:06:27.727,4.270086765,51.31690979,5685833.274,588511.4152,178.3,9.8
281923,2018-05-01 10:33:12.217,3.960631609,51.4061203,5695426.384,566816.2867,17.2,9.5
281923,2018-05-01 13:09:47.353,4.272121429,51.30744171,5684782.844,588671.4545,175.1,10.2
281923,2018-05-01 05:49:59.247,3.609303236,51.09111404,5660133.748,542670.6029,87.6,5.9
281923,2018-05-01 13:13:27.713,4.267145157,51.29869843,5683804.558,588341.3877,211.9,9.2
281923,2018-05-01 13:17:08.873,4.259198189,51.29078674,5682915.217,587802.4609,212.5,8.9
281923,2018-05-01 10:36:43.513,3.965556622,51.41498947,5696417.208,567145.8432,22,9.6
281923,2018-05-01 05:55:30.517,3.623790026,51.09162521,5660199.088,543684.6489,86.7,5.9
281923,2018-05-01 10:40:13.500,3.972026587,51.42345428,5697364.513,567583.2764,30.8,9.6
281923,2018-05-01 13:22:48.940,4.251299858,51.28294754,5682034.054,587266.596,206,6.5
281923,2018-05-01 06:01:08.673,3.638600111,51.09215546,5660266.944,544721.2939,87,5.8
